Paper Title,Year,Author,Publication,Url of paper,Source url
Assessing the utility and limitations of accelerometers and machine learning approaches in classifying behaviour during lactation in a phocid seal,2018,CR Shuert  PP Pomeroy,Springer,https://link.springer.com/article/10.1186/s40317-018-0158-y,https://scholar.google.com/scholar?q=accelerometer+activity%20classification+machine%20learning+animal+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
An iot-based design using accelerometers in animal behavior recognition systems,2021,DN Tran  TN Nguyen,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9319861/,https://scholar.google.com/scholar?q=accelerometer+activity%20classification+machine%20learning+animal+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Deep learning classification of canine behavior using a single collar-mounted accelerometer: Real-world validation,2021,RD Chambers  NC Yoder,mdpi.com,https://www.mdpi.com/2076-2615/11/6/1549,https://scholar.google.com/scholar?q=accelerometer+activity%20classification+machine%20learning+animal+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
A novel biomechanical approach for animal behaviour recognition using accelerometers,2019,P Chakravarty  G Cozzi,Wiley Online Library,https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/2041-210x.13172,https://scholar.google.com/scholar?q=accelerometer+activity%20classification+machine%20learning+animal+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Classifying the posture and activity of ewes and lambs using accelerometers and machine learning on a commercial flock,2022,E Price  J Langford,Elsevier,https://www.sciencedirect.com/science/article/pii/S0168159122000880,https://scholar.google.com/scholar?q=accelerometer+activity%20classification+machine%20learning+animal+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
A survey of machine learning approaches in animal behaviour,2022,N Kleanthous  AJ Hussain,Elsevier,https://www.sciencedirect.com/science/article/pii/S0925231222003150,https://scholar.google.com/scholar?q=accelerometer+activity%20classification+machine%20learning+animal+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Analysis of animal accelerometer data using hidden Markov models,2017,V Leos‐Barajas  T Photopoulou… - Methods in Ecology …,Wiley Online Library,https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/2041-210X.12657,https://scholar.google.com/scholar?q=accelerometer+activity%20classification+machine%20learning+animal+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Deep transfer learning in sheep activity recognition using accelerometer data,2022,N Kleanthous  A Hussain,Elsevier,https://www.sciencedirect.com/science/article/pii/S095741742201168X,https://scholar.google.com/scholar?q=accelerometer+activity%20classification+machine%20learning+animal+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Classification of broiler behaviours using triaxial accelerometer and machine learning,2021,X Yang  Y Zhao,Elsevier,https://www.sciencedirect.com/science/article/pii/S1751731121001117,https://scholar.google.com/scholar?q=accelerometer+activity%20classification+machine%20learning+animal+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Classification of behaviour in housed dairy cows using an accelerometer-based activity monitoring system,2015,JA Vázquez Diosdado  ZE Barker… - Animal …,animalbiotelemetry.biomedcentral …,https://animalbiotelemetry.biomedcentral.com/articles/10.1186/s40317-015-0045-8,https://scholar.google.com/scholar?q=accelerometer+activity%20classification+machine%20learning+animal+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Assessing the utility and limitations of accelerometers and machine learning approaches in classifying behaviour during lactation in a phocid seal,2018,CR Shuert  PP Pomeroy,Springer,https://link.springer.com/article/10.1186/s40317-018-0158-y,https://scholar.google.com/scholar?q=accelerometer+activity%20classification+machine%20learning+animal+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
An iot-based design using accelerometers in animal behavior recognition systems,2021,DN Tran  TN Nguyen,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9319861/,https://scholar.google.com/scholar?q=accelerometer+activity%20classification+machine%20learning+animal+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
